# wiring_sweep_result.tsv — FR-019 sweep result. GENERATED; do not hand-edit.
# Regenerate: cm_unreferenced_gate_bound_or_retired.sh
# The fingerprint covers EXACTLY the inputs this sweep read (every gate
# file, every declared seam file, and the four registries). Change any of
# them and it changes, so a result computed against an earlier tree cannot
# satisfy a later one — that is the FR-021 staleness guarantee, and it is
# the whole reason the value is recorded here rather than assumed.
# Schema: <kind>\t<a>\t<b>\t<c>
sweep-verdict	REFUSE	2026-08-23T09:46:13Z	unbound=30
tree-fingerprint	445f4d5ecbfc7ee98b20dc65979b0b8c984a18d484fb42074fdd5d91150552da	gates=196	seams=13
summary	seam-literal=17	data-dispatch=90	paired=52;deferred=7;retired=0
# gate-token	gate-file	disposition	basis
gate	CM-COVENANT-114-176-PROPAGATION-MUTATION-TEST	cm_covenant_114_176_propagation_mutation_test.sh	BOUND-PAIRED-MUTATION	paired gate present: cm_covenant_114_176_propagation.sh
gate	CM-COVENANT-114-176-PROPAGATION	cm_covenant_114_176_propagation.sh	UNBOUND	no seam reference, no data-dispatch rule, no deferral row, no retirement row
gate	CM-COVENANT-114-187-PROPAGATION-MUTATION-TEST	cm_covenant_114_187_propagation_mutation_test.sh	BOUND-PAIRED-MUTATION	paired gate present: cm_covenant_114_187_propagation.sh
gate	CM-COVENANT-114-187-PROPAGATION	cm_covenant_114_187_propagation.sh	UNBOUND	no seam reference, no data-dispatch rule, no deferral row, no retirement row
gate	CM-COVENANT-114-191-PROPAGATION-MUTATION-TEST	cm_covenant_114_191_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-191-PROPAGATION	cm_covenant_114_191_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-196-PROPAGATION-MUTATION-TEST	cm_covenant_114_196_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-196-PROPAGATION	cm_covenant_114_196_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-199-PROPAGATION-MUTATION-TEST	cm_covenant_114_199_propagation_mutation_test.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
gate	CM-COVENANT-114-199-PROPAGATION	cm_covenant_114_199_propagation.sh	BOUND-DATA-DISPATCH	filename reproduced from a real data-pack row via a declared dispatcher rule
